iter	Passed	Remaining
0	55	55619
1	98	49183
2	141	46953
3	183	45769
4	226	45015
5	268	44415
6	310	44005
7	355	44117
8	399	44007
9	443	43859
10	485	43623
11	527	43450
12	570	43293
13	612	43166
14	655	43050
15	697	42912
16	740	42822
17	783	42720
18	825	42626
19	868	42547
20	911	42479
21	953	42370
22	995	42280
23	1038	42212
24	1080	42124
25	1122	42051
26	1165	41991
27	1208	41951
28	1250	41865
29	1292	41797
30	1335	41755
31	1378	41712
32	1421	41648
33	1464	41596
34	1506	41532
35	1548	41465
36	1590	41402
37	1633	41362
38	1676	41300
39	1718	41244
40	1760	41187
41	1804	41157
42	1846	41088
43	1889	41046
44	1931	40996
45	1974	40942
46	2016	40885
47	2059	40837
48	2101	40780
49	2144	40736
50	2203	41000
51	2246	40948
52	2288	40885
53	2330	40830
54	2373	40782
55	2416	40728
56	2459	40693
57	2502	40643
58	2545	40591
59	2586	40529
60	2630	40489
61	2673	40444
62	2715	40392
63	2758	40340
64	2801	40295
65	2843	40246
66	2886	40195
67	2929	40149
68	2972	40105
69	3015	40057
70	3058	40015
71	3100	39967
72	3143	39920
73	3186	39870
74	3228	39820
75	3271	39774
76	3314	39728
77	3359	39711
78	3401	39660
79	3444	39614
80	3487	39568
81	3530	39524
82	3572	39472
83	3615	39420
84	3657	39372
85	3700	39323
86	3741	39269
87	3785	39227
88	3827	39182
89	3870	39137
90	3914	39098
91	3956	39049
92	3998	38994
93	4040	38945
94	4083	38897
95	4125	38847
96	4167	38799
97	4211	38759
98	4253	38712
99	4299	38693
100	4342	38648
101	4384	38602
102	4427	38559
103	4470	38512
104	4514	38477
105	4557	38435
106	4599	38387
107	4642	38341
108	4684	38295
109	4727	38246
110	4769	38196
111	4811	38149
112	4854	38103
113	4896	38058
114	4939	38009
115	4981	37963
116	5024	37918
117	5066	37870
118	5109	37824
119	5153	37790
120	5195	37745
121	5238	37698
122	5281	37656
123	5324	37613
124	5368	37577
125	5410	37531
126	5453	37484
127	5496	37445
128	5539	37400
129	5581	37353
130	5623	37307
131	5667	37265
132	5710	37225
133	5752	37179
134	5795	37134
135	5838	37089
136	5880	37045
137	5923	36998
138	5965	36954
139	6009	36913
140	6051	36868
141	6094	36823
142	6136	36777
143	6179	36731
144	6221	36687
145	6264	36643
146	6306	36597
147	6350	36558
148	6392	36510
