iter	MultiClassOneVsAll
0	0.6911204783
1	0.6892250159
2	0.687331025
3	0.6856895684
4	0.6837900403
5	0.6817674943
6	0.6803841499
7	0.6782140954
8	0.6761546914
9	0.6744389978
10	0.672652024
11	0.6710528184
12	0.6692886532
13	0.6672317611
14	0.6654587475
15	0.6636703626
16	0.6620662421
17	0.6602864654
18	0.658947759
19	0.6573431054
20	0.6556549727
21	0.6541897287
22	0.6523897809
23	0.6504364761
24	0.6486948004
25	0.6468614774
26	0.6454409701
27	0.643706458
28	0.6422316362
29	0.640836467
30	0.6393990913
31	0.6376356149
32	0.6361267057
33	0.6345854328
34	0.6331555322
35	0.6319591478
36	0.630117572
37	0.6284074355
38	0.6270201508
39	0.6254678183
40	0.623600134
41	0.6221805766
42	0.6209256283
43	0.6194661176
44	0.6179118467
45	0.6163375793
46	0.6149010401
47	0.6133004247
48	0.6121865213
49	0.6110675509
50	0.6096500151
51	0.6085988862
52	0.6068342876
53	0.6055764976
54	0.6043612176
55	0.6032916642
56	0.6020728463
57	0.6007365909
58	0.5995669996
59	0.5982902225
60	0.597336854
61	0.5960947083
62	0.5950935588
63	0.5939250356
64	0.5925159036
65	0.5914951559
66	0.5905881875
67	0.5891054143
68	0.5882543201
69	0.5870061573
70	0.58576057
71	0.5844092287
72	0.5830985104
73	0.5819706907
74	0.581057207
75	0.5799518394
76	0.5787360571
77	0.5777621446
78	0.5762258025
79	0.5750749178
80	0.5742423498
81	0.5729464985
82	0.5718848192
83	0.570877772
84	0.5698307276
85	0.5687649805
86	0.567841628
87	0.5668553458
88	0.5655835002
89	0.5645665025
90	0.563569785
91	0.5620838203
92	0.5611283231
93	0.5601177923
94	0.5589798581
95	0.558081012
96	0.5572367777
97	0.5562549043
98	0.5551468553
99	0.5542415259
100	0.5532862647
101	0.5523673362
102	0.551186006
103	0.5502039131
104	0.5491827114
105	0.5482431119
106	0.5471505901
107	0.5464006946
108	0.5451883117
109	0.543988778
110	0.5431307489
111	0.542018852
112	0.5411327658
113	0.5401777208
114	0.5392604268
115	0.5385130041
116	0.5376155654
117	0.536790528
118	0.5358748244
119	0.5350208908
120	0.5340192727
121	0.5330976757
122	0.5320006275
123	0.5312077226
124	0.5303491141
125	0.529387615
126	0.5285005724
127	0.5277635394
128	0.5269932214
129	0.5262067292
130	0.5254397536
131	0.5246108683
132	0.5237642907
133	0.5231090716
134	0.5222654737
135	0.5214635819
136	0.5205117383
137	0.5197487845
138	0.5190714184
139	0.5183042191
