iter	MultiClassOneVsAll
0	0.6908336045
1	0.6889291976
2	0.6871184773
3	0.6852844394
4	0.6832530758
5	0.6812775367
6	0.6794172831
7	0.6774463484
8	0.6753664916
9	0.673331733
10	0.6719524877
11	0.6700729417
12	0.6682064024
13	0.6661567815
14	0.6644016025
15	0.6623665825
16	0.6605729871
17	0.6587574544
18	0.6570989237
19	0.6549945351
20	0.6530009847
21	0.6514295907
22	0.6495141126
23	0.6478164075
24	0.6457345502
25	0.6437580831
26	0.6419409141
27	0.6398259557
28	0.6383355025
29	0.6363303368
30	0.6349092503
31	0.6335948245
32	0.6321268154
33	0.6302603209
34	0.6283943948
35	0.6268626154
36	0.6254065327
37	0.6236742186
38	0.6219671448
39	0.6205933283
40	0.6192113772
41	0.6178334656
42	0.6162550129
43	0.6146728511
44	0.6133170969
45	0.6117442374
46	0.6102533982
47	0.608796778
48	0.6076615487
49	0.6063142984
50	0.6049188484
51	0.6035498511
52	0.6021566603
53	0.600891924
54	0.599477735
55	0.5978900513
56	0.5966882019
57	0.5951277039
58	0.5935600324
59	0.5919814398
60	0.5905737109
61	0.5891343607
62	0.5874674542
63	0.5860431466
64	0.5846365862
65	0.5833512437
66	0.5819521332
67	0.5806698248
68	0.57951925
69	0.5781545158
70	0.5771311764
71	0.5755019928
72	0.5742000515
73	0.5728150517
74	0.5715810599
75	0.5699430949
76	0.5687338226
77	0.5675169547
78	0.5660982554
79	0.5648079472
80	0.5635436377
81	0.5623103077
82	0.5605669697
83	0.5590901338
84	0.5579842952
85	0.5566531484
86	0.5554352902
87	0.5541761545
88	0.5531191715
89	0.5516213898
90	0.550303826
91	0.5487185867
92	0.5474478272
93	0.5464958464
94	0.545288325
95	0.5443450613
96	0.543148665
97	0.5421443698
98	0.5410119143
99	0.5396144682
100	0.5386090112
101	0.5375377034
102	0.53629416
103	0.5352481379
104	0.5343356251
105	0.5333388143
106	0.532115727
107	0.5308756372
108	0.5296986211
109	0.5287013143
110	0.527640611
111	0.5264195053
112	0.525433717
113	0.524455964
114	0.5234442912
115	0.5224594143
116	0.5212594706
117	0.5202813225
118	0.5194132073
119	0.5184922885
120	0.5175580103
121	0.5166908192
122	0.5155737748
123	0.514406188
124	0.5133370406
125	0.512641978
126	0.5117100567
127	0.5108399537
128	0.5097777422
129	0.5089206229
130	0.5078736034
131	0.5069408271
132	0.5061781093
133	0.5050112477
134	0.5041243645
135	0.503244519
136	0.5022978248
137	0.5014096006
138	0.5003165168
139	0.4991275554
140	0.4984729015
141	0.4974592705
142	0.4965645398
143	0.4955464596
144	0.4947807954
145	0.493740982
146	0.4929989162
147	0.4919817966
148	0.4910452989
149	0.4903619348
150	0.4895133036
151	0.4884579034
152	0.4875752646
153	0.4866906
154	0.4857137109
155	0.4849217148
156	0.4840740501
157	0.4831679705
158	0.4824463436
159	0.4816758275
160	0.4808211764
161	0.4801031627
162	0.479463855
163	0.4788585334
164	0.4780487466
165	0.4773151003
166	0.4764545812
167	0.4757079841
168	0.4748730462
169	0.4742540697
170	0.4735895772
171	0.4728623837
172	0.4720016654
173	0.4712865731
174	0.4705568569
175	0.4698077095
176	0.4689804623
177	0.4682076637
178	0.4674235195
179	0.4663366937
180	0.4655879882
181	0.4645932549
182	0.4637917853
183	0.4629165054
184	0.4621750181
185	0.4612922533
186	0.4604897904
187	0.459593712
188	0.4588849781
189	0.4581684633
190	0.4574833725
191	0.4569457201
192	0.4560807213
193	0.4555493779
194	0.4547017377
195	0.4540862498
196	0.4534996932
197	0.4527635541
198	0.4520819316
199	0.4510734006
200	0.4506175174
201	0.4500672599
202	0.4494179164
203	0.448655544
204	0.4480216223
205	0.4475726125
206	0.4469326818
207	0.4463117939
208	0.4457917529
209	0.4451709839
210	0.444587044
211	0.4439172446
212	0.443251119
213	0.4424820337
214	0.441860417
215	0.4413870405
216	0.4408407298
217	0.4402609832
218	0.4394652553
219	0.4387673182
220	0.4382743438
221	0.4377478908
222	0.4371454286
223	0.4365316942
224	0.4357971123
225	0.4350767632
226	0.4342660047
227	0.4336357568
228	0.4329189325
229	0.432423643
230	0.4318338056
231	0.4312225893
232	0.430673078
233	0.4300468168
234	0.4294680905
235	0.4289875489
236	0.428298402
237	0.4278174833
238	0.4272720677
239	0.4266537596
240	0.4260675167
241	0.4254767529
242	0.424899986
243	0.4244179667
244	0.4236701374
245	0.4231176548
246	0.4224306852
247	0.4218675897
248	0.4212973561
249	0.4206847598
250	0.4202511062
251	0.4197599765
252	0.4190974149
253	0.4184400171
254	0.4177643973
255	0.4172086282
256	0.4167965815
257	0.4161219648
258	0.4156672488
259	0.415097496
260	0.4144992977
261	0.4140058974
262	0.4133841935
263	0.4128835802
264	0.412429991
265	0.4118175974
266	0.4113466088
267	0.4108987755
268	0.4104667497
269	0.4100059558
270	0.4095055299
271	0.408966123
272	0.4084316529
273	0.4079543502
274	0.4073976024
275	0.406864242
276	0.4064174282
277	0.4059131094
278	0.4055188223
279	0.4050273744
280	0.4046036881
281	0.4041849581
282	0.4036975762
283	0.4032739071
284	0.4027398075
285	0.4022972838
286	0.401919811
287	0.4013934199
288	0.4008631948
289	0.4003820986
290	0.4000295317
291	0.3996095016
292	0.3991988071
293	0.3986875147
294	0.3979817364
295	0.3974696881
296	0.3969548676
297	0.3963216959
298	0.3958439213
299	0.3954320117
300	0.3950320003
301	0.3946308173
302	0.394168235
303	0.3936717156
304	0.3931691381
305	0.3926279648
306	0.392312254
307	0.3918310191
308	0.3914853407
309	0.3909023936
310	0.390272708
311	0.3898457232
312	0.3894080244
313	0.3889425871
314	0.3883839226
315	0.3879286671
316	0.3875828125
317	0.3871781065
318	0.3867794238
319	0.3862428124
320	0.3858791209
321	0.3854446766
322	0.3851102213
323	0.3847175598
324	0.3843448063
325	0.3837916998
326	0.3832781253
327	0.382841506
328	0.382445033
329	0.3819375857
330	0.3814679437
331	0.3809455613
332	0.3805331163
333	0.3800331812
334	0.3796494098
335	0.3791604025
336	0.3788470155
337	0.3784488332
338	0.3779521144
339	0.3775012216
340	0.3770040662
341	0.3765933348
342	0.376211363
343	0.375850291
344	0.3754163493
345	0.374979885
346	0.3744836318
347	0.3741222976
348	0.3736683036
349	0.3732660319
350	0.3728060391
351	0.3723751316
352	0.3719098331
353	0.3714115054
354	0.3710274652
355	0.3706682075
356	0.3702761742
357	0.3698504516
358	0.3694145222
359	0.3690020685
360	0.3685686398
361	0.368200221
362	0.3677674139
363	0.3672791078
364	0.3668450862
365	0.3664264738
366	0.3659139259
367	0.3655472828
368	0.3651478692
369	0.3647901411
370	0.3644916715
371	0.3641052312
372	0.3638227748
373	0.3634613848
374	0.3630781994
375	0.3627219538
376	0.3623367746
377	0.3619879759
378	0.3616395075
379	0.361196796
380	0.3608182271
381	0.360389432
382	0.360056032
383	0.3596887582
384	0.3593275653
385	0.3588923787
386	0.3583983633
387	0.3582016494
388	0.3578200631
389	0.3573955828
390	0.3570038806
391	0.3566590745
392	0.3561408452
393	0.3556612424
394	0.3553025155
395	0.3548790394
396	0.3544191692
397	0.3540008748
398	0.3535952015
399	0.3533117694
400	0.3529741799
401	0.3524922241
402	0.3520024716
403	0.3516395898
404	0.3510977565
405	0.3507250342
406	0.3503742777
407	0.3499550781
408	0.3494450248
409	0.3490651068
410	0.3487021568
411	0.3483932953
412	0.3479839723
413	0.347695549
414	0.3473106549
415	0.3468802684
416	0.3465075417
417	0.3460776298
418	0.3457353165
419	0.3452941155
420	0.344990662
421	0.3446751774
422	0.344314131
423	0.3439625984
424	0.3435468244
425	0.3432832641
426	0.3429124374
427	0.3425819241
428	0.342218825
429	0.3419325016
430	0.3415726369
431	0.341204785
432	0.3408451174
433	0.3405594087
434	0.340195636
435	0.3397422115
436	0.3393759302
437	0.3390133794
438	0.3385709313
439	0.3382076395
440	0.3378425188
441	0.3374436422
442	0.3371129921
443	0.3368005755
444	0.3363799817
445	0.3360737329
446	0.3356489976
447	0.3354040619
448	0.3349318439
449	0.334644705
450	0.3343884749
451	0.3340212403
452	0.3336545077
453	0.3333007962
454	0.3329728091
455	0.332657051
456	0.3323190658
457	0.332043303
458	0.3316628583
459	0.3314550987
460	0.3309228756
461	0.3305298339
462	0.3302759931
463	0.3299073057
464	0.3295445987
465	0.3292286715
466	0.328926933
467	0.3285789418
468	0.3282389069
469	0.3278601655
470	0.3275024213
471	0.3270260285
472	0.3267518446
473	0.3264009623
474	0.3259725475
475	0.3255215297
476	0.3252036402
477	0.3248760601
478	0.3245788892
479	0.3243475126
480	0.3238839799
481	0.3234484709
482	0.3231573652
483	0.3227745503
484	0.3224507328
485	0.3221200009
486	0.3218126267
487	0.3214654934
488	0.3211013686
489	0.3208500673
490	0.3204317978
491	0.3201470991
492	0.3197320889
493	0.3194450596
494	0.3191720431
495	0.3188112155
496	0.3184033947
497	0.3181301328
498	0.3176961151
499	0.317382646
500	0.3169885789
501	0.3166414553
502	0.3162081671
503	0.3158972102
504	0.3155591054
505	0.3150656947
506	0.3147162569
507	0.3144399489
508	0.3141769458
509	0.3139035372
510	0.3136124308
511	0.3133033284
512	0.3128865334
513	0.3125421789
514	0.3123069885
515	0.3119481039
516	0.3116847917
517	0.3112705414
518	0.3111028427
519	0.3108169909
520	0.31050287
521	0.3100402757
522	0.3097066084
523	0.3095062627
524	0.3091332277
525	0.3088636588
526	0.3086579687
527	0.3083841367
528	0.3080690949
529	0.3077721805
530	0.3076127323
531	0.3072888852
532	0.3069122644
533	0.3065768469
534	0.3063819596
535	0.3060904096
536	0.3057207003
537	0.3054086985
538	0.3051554036
539	0.3048507349
540	0.3045630071
541	0.3042905604
542	0.3039614591
543	0.3035331644
544	0.3031295798
545	0.3029317287
546	0.3026187557
547	0.3023236004
548	0.3020164694
549	0.301614577
550	0.3013792815
551	0.301068395
552	0.300847085
553	0.3004439457
554	0.3001659334
555	0.2998877133
556	0.2993996351
557	0.2991471017
558	0.2987775319
559	0.298384416
560	0.2980059766
561	0.2975926207
562	0.2973915833
563	0.2970100319
564	0.2966122093
565	0.2963289853
566	0.2960157849
567	0.2957374896
568	0.2955149382
569	0.2952809632
570	0.2950482391
571	0.2947186505
572	0.2944239165
573	0.2940886773
574	0.2937523661
575	0.293477089
576	0.2931094297
577	0.2927646104
578	0.2924927165
579	0.2921640128
580	0.2918638479
581	0.2916044003
582	0.2911772113
583	0.2909870143
584	0.2906348223
585	0.2903284559
586	0.2901373275
587	0.289902667
588	0.2896736292
589	0.2893593272
590	0.2890386973
591	0.2887153123
592	0.2884113214
593	0.2882262516
594	0.2879738354
595	0.2876821829
596	0.2874425758
597	0.2871738319
598	0.2868615676
599	0.2865667789
600	0.2861496974
601	0.2858062347
602	0.2856191778
603	0.2853869729
604	0.2849067504
605	0.2846835422
606	0.2845234029
607	0.2843029675
608	0.2840101863
609	0.2837413365
610	0.2834506871
611	0.2831564514
612	0.2828641029
613	0.2826131154
614	0.2822297562
615	0.2819730476
616	0.2816333935
617	0.2813470603
618	0.2810665651
619	0.2806812414
620	0.2803426136
621	0.2799977235
622	0.2797397217
623	0.2793999561
624	0.2791736911
625	0.2788930783
626	0.2785673555
627	0.2783005725
628	0.2780704465
629	0.2778295381
630	0.2775463994
631	0.2773375361
632	0.277101906
633	0.276836417
634	0.2765659978
635	0.2761956591
636	0.2759090901
637	0.2756349568
638	0.2753107976
639	0.2749747984
640	0.2747337521
641	0.2743798257
642	0.274081218
643	0.2737711389
644	0.2734678917
645	0.2730897942
646	0.2728580857
647	0.2725494437
648	0.2721581313
649	0.2718762876
650	0.2715046548
651	0.2711986794
652	0.2709328216
653	0.2706721689
654	0.2703836936
655	0.2700602355
656	0.2697998874
657	0.2695162399
658	0.2692449407
659	0.2689551062
660	0.2686801927
661	0.2683791159
662	0.2681353957
663	0.2678849408
664	0.2675853909
665	0.2673359357
666	0.267017505
667	0.2666665775
668	0.2664103532
669	0.2661715041
670	0.2657867092
671	0.2653486567
672	0.265043202
673	0.2647938265
674	0.2645409734
675	0.2642381738
676	0.2639750455
677	0.26363946
678	0.2633451599
679	0.2630815462
680	0.2627137443
681	0.2624999475
682	0.2621560614
683	0.2618483772
684	0.2616167232
685	0.2612600913
686	0.2609789272
687	0.2605550341
688	0.260271011
689	0.2600054058
690	0.2597643612
691	0.2594151301
692	0.2591441877
693	0.2588201273
694	0.2584595888
695	0.2582452905
