iter	Passed	Remaining
0	289	289579
1	369	184441
2	454	150966
3	532	132538
4	608	121130
5	683	113255
6	760	107914
7	838	103915
8	914	100662
9	995	98521
10	1078	96964
11	1158	95358
12	1238	94068
13	1317	92802
14	1392	91459
15	1467	90243
16	1541	89160
17	1616	88206
18	1694	87466
19	1769	86713
20	1849	86210
21	1926	85625
22	2002	85050
23	2077	84492
24	2154	84024
25	2230	83568
26	2306	83106
27	2380	82644
28	2455	82225
29	2530	81820
30	2605	81447
31	2680	81094
32	2757	80810
33	2832	80475
34	2907	80151
35	2982	79854
36	3058	79592
37	3133	79319
38	3208	79057
39	3283	78809
40	3359	78570
41	3440	78470
42	3514	78218
43	3588	77978
44	3663	77741
45	3737	77518
46	3813	77320
47	3888	77114
48	3961	76891
49	4042	76805
50	4118	76637
51	4193	76448
52	4272	76342
53	4359	76371
54	4435	76201
55	4509	76025
56	4584	75849
57	4661	75703
58	4736	75537
59	4821	75529
60	4896	75366
61	4973	75237
62	5048	75085
63	5123	74927
64	5197	74771
65	5272	74619
66	5348	74478
67	5424	74353
68	5507	74313
69	5583	74177
70	5658	74038
71	5733	73896
72	5808	73759
73	5882	73616
74	5957	73480
75	6034	73370
76	6124	73415
77	6199	73278
78	6274	73149
79	6351	73047
80	6426	72913
81	6501	72787
82	6576	72657
83	6652	72543
84	6734	72493
85	6814	72419
86	6892	72334
87	6968	72223
88	7050	72164
89	7131	72102
90	7208	72005
91	7284	71891
92	7359	71776
93	7434	71660
94	7510	71544
95	7586	71436
96	7665	71355
97	7745	71292
98	7837	71327
99	7918	71263
100	7999	71206
101	8095	71273
102	8177	71212
103	8257	71144
104	8339	71085
105	8420	71021
106	8506	70990
107	8582	70888
108	8658	70778
109	8733	70661
110	8808	70547
111	8884	70440
112	8960	70339
113	9037	70241
114	9113	70132
115	9188	70023
116	9264	69919
117	9339	69812
118	9415	69705
119	9495	69630
120	9574	69553
121	9656	69494
122	9736	69420
123	9812	69319
124	9888	69217
125	9963	69109
126	10038	69005
127	10117	68922
128	10193	68827
129	10271	68739
130	10347	68638
131	10423	68540
132	10499	68446
133	10575	68346
134	10650	68243
135	10727	68150
136	10805	68067
137	10881	67971
138	10957	67872
139	11032	67769
140	11108	67673
141	11184	67579
142	11261	67490
143	11339	67407
144	11414	67305
145	11489	67203
146	11564	67107
147	11639	67008
148	11716	66915
149	11792	66823
150	11867	66724
151	11944	66635
152	12020	66547
153	12097	66455
154	12172	66360
155	12248	66266
156	12323	66171
157	12399	66077
158	12478	66001
159	12558	65932
160	12643	65887
161	12730	65850
162	12807	65764
163	12883	65672
164	12958	65579
165	13036	65497
166	13116	65424
167	13193	65339
168	13269	65249
169	13344	65152
170	13421	65065
171	13496	64970
172	13573	64884
173	13649	64797
174	13727	64717
175	13805	64633
176	13893	64600
177	13976	64544
178	14058	64479
179	14139	64411
180	14217	64330
181	14292	64238
182	14369	64150
183	14444	64059
184	14521	63971
185	14600	63895
186	14680	63824
187	14758	63742
188	14834	63654
189	14914	63583
190	14993	63505
191	15070	63423
192	15146	63332
193	15225	63255
194	15304	63181
195	15383	63102
196	15470	63060
197	15545	62969
198	15623	62888
199	15701	62806
200	15776	62713
201	15850	62618
202	15927	62532
203	16014	62487
204	16092	62408
205	16168	62320
206	16244	62232
207	16323	62154
208	16401	62074
209	16478	61991
210	16554	61901
211	16629	61813
212	16710	61741
213	16795	61687
214	16870	61597
215	16945	61504
216	17022	61422
217	17102	61348
218	17177	61258
219	17258	61188
220	17337	61111
221	17427	61073
222	17502	60984
223	17580	60902
224	17655	60813
225	17733	60733
226	17814	60664
227	17895	60592
228	17978	60529
229	18062	60468
230	18144	60403
231	18230	60350
232	18309	60272
233	18403	60242
234	18481	60164
235	18559	60081
236	18635	59996
237	18715	59920
238	18796	59849
239	18878	59782
240	18958	59708
241	19036	59627
242	19120	59565
243	19203	59500
244	19288	59440
245	19365	59357
246	19444	59278
247	19521	59193
248	19598	59111
249	19676	59028
250	19755	58950
251	19832	58867
252	19912	58793
253	19995	58727
254	20079	58663
255	20157	58581
256	20233	58497
257	20312	58417
258	20389	58334
259	20471	58265
260	20549	58184
261	20627	58103
262	20706	58025
263	20790	57962
264	20867	57878
265	20943	57792
266	21019	57703
267	21094	57616
268	21169	57528
269	21245	57440
270	21320	57352
271	21395	57263
272	21473	57184
273	21552	57105
274	21632	57031
275	21712	56956
276	21795	56887
277	21876	56815
278	21955	56737
279	22034	56660
280	22111	56576
281	22187	56490
282	22263	56405
283	22338	56318
284	22414	56232
285	22494	56157
286	22574	56081
287	22654	56007
288	22735	55934
289	22814	55856
290	22895	55782
291	22976	55709
292	23059	55642
293	23140	55569
294	23220	55492
295	23326	55479
296	23418	55430
297	23497	55353
